1,8795
2,7880
3,6695
4,8585
5,3900
6,7700
7,3325
8,2600
9,6325
10,4025
11,4725
12,4525
13,6225
14,3325
15,5425
16,5325
17,6525
18,4000
19,5325
20,4100
21,5780
22,6025
23,4525
24,6485
25,4725
26,6800
27,15960
28,5570
29,8195
30,10475
31,6325
32,3900
33,5025
34,9660
35,11210
36,9735
37,6900
38,6925
39,4900
40,4675
41,6170
42,4725
43,10260
44,6590
45,4340
46,6790
47,4025
48,4025
49,4400
50,5000
51,4500
52,5500
53,5000
54,3200
55,20000
56,3150
57,4245
58,3445
59,5893
60,3520
61,2145
62,3930
63,3455
64,4155
65,2407
66,3705
67,1935
68,3430
69,4800
70,11000
71,5025
72,4510
73,4955
74,7160
75,5960
76,3700
77,3500
78,3900
79,4200
